loc,trait,name,sum_sq,df,F,PR(>F)
Glyma.04G023700,water_soluble_protein,Residual,3352.655032,155,NA,NA
Glyma.12G137800,water_soluble_protein,C(type),193.2873694,2,4.23158925,0.016502475
Glyma.12G137800,water_soluble_protein,Residual,3083.214524,135,NA,NA
Glyma.18G159600,water_soluble_protein,C(type),295.3859622,3,4.70810246,0.003562974
Glyma.18G159600,water_soluble_protein,Residual,3262.475735,156,NA,NA
Glyma.10G082800,water_soluble_protein,C(type),397.9561934,1,19.24026172,2.08E-05
Glyma.10G082800,water_soluble_protein,Residual,3330.045508,161,NA,NA
Glyma.04G046000,water_soluble_protein,C(type),173.517548,2,3.86707331,0.022940756
Glyma.04G046000,water_soluble_protein,Residual,3522.334962,157,NA,NA
Glyma.16G079200,water_soluble_protein,C(type),293.1265999,3,4.574327372,0.004295299
Glyma.16G079200,water_soluble_protein,Residual,3139.959654,147,NA,NA
Glyma.18G138800,water_soluble_protein,C(type),280.6569992,3,4.484987382,0.00480272
Glyma.18G138800,water_soluble_protein,Residual,3107.990377,149,NA,NA
Glyma.18G223100,water_soluble_protein,C(type),210.9357361,2,4.989052725,0.007961698
Glyma.18G223100,water_soluble_protein,Residual,3234.398332,153,NA,NA
Glyma.06G207000,water_soluble_protein,C(type),276.0439515,2,6.489380482,0.001995279
Glyma.06G207000,water_soluble_protein,Residual,3105.259203,146,NA,NA
Glyma.01G219000,water_soluble_protein,C(type),262.5453794,1,12.19747189,0.000617895
Glyma.01G219000,water_soluble_protein,Residual,3465.456322,161,NA,NA
Glyma.20G080800,water_soluble_protein,C(type),232.5925916,1,10.38955971,0.001545167
Glyma.20G080800,water_soluble_protein,Residual,3470.007652,155,NA,NA
Glyma.14G088300,water_soluble_protein,C(type),210.522195,2,4.847062152,0.00910648
Glyma.14G088300,water_soluble_protein,Residual,3300.903995,152,NA,NA
Glyma.20G232500,water_soluble_protein,C(type),115.9687657,1,5.308189522,0.022626657
Glyma.20G232500,water_soluble_protein,Residual,3211.529747,147,NA,NA
Glyma.08G327900,water_soluble_protein,C(type),189.2001388,2,4.363067822,0.014383768
Glyma.08G327900,water_soluble_protein,Residual,3273.983137,151,NA,NA
Glyma.05G149000,water_soluble_protein,C(type),328.1226409,4,3.7168981,0.006549249
Glyma.05G149000,water_soluble_protein,Residual,3178.030378,144,NA,NA
Glyma.06G163200,water_soluble_protein,C(type),180.1928532,1,7.974884657,0.005379284
Glyma.06G163200,water_soluble_protein,Residual,3434.446373,152,NA,NA
Glyma.06G144300,water_soluble_protein,C(type),138.1941001,1,7.116854429,0.008432146
Glyma.06G144300,water_soluble_protein,Residual,3068.02226,158,NA,NA
Glyma.15G223800,water_soluble_protein,C(type),497.5761341,4,6.35530318,9.74E-05
Glyma.15G223800,water_soluble_protein,Residual,2818.550165,144,NA,NA
Glyma.02G002500,water_soluble_protein,C(type),193.5759462,1,8.83144351,0.003519571
Glyma.02G002500,water_soluble_protein,Residual,2893.301063,132,NA,NA
Glyma.07G004800,water_soluble_protein,C(type),349.5112114,4,3.966683856,0.004426766
Glyma.07G004800,water_soluble_protein,Residual,3083.909089,140,NA,NA
Glyma.13G154600,water_soluble_protein,C(type),352.852327,2,8.584408178,0.000289699
Glyma.13G154600,water_soluble_protein,Residual,3226.653147,157,NA,NA
