loc,trait,name,sum_sq,df,F,PR(>F)
Glyma.07G269000,protein_content,Residual,795.2969041,176,NA,NA
Glyma.07G141400,protein_content,C(type),37.48469522,1,8.47051763,0.004043049
Glyma.07G141400,protein_content,Residual,836.3842336,189,NA,NA
Glyma.06G205900,protein_content,C(type),64.25037119,2,7.013972239,0.001144064
Glyma.06G205900,protein_content,Residual,893.1331601,195,NA,NA
Glyma.02G273900,protein_content,C(type),42.60241933,1,9.348641815,0.00252891
Glyma.02G273900,protein_content,Residual,934.1994415,205,NA,NA
Glyma.17G009400,protein_content,C(type),19.21173435,1,4.176435452,0.042307508
Glyma.17G009400,protein_content,Residual,915.4062547,199,NA,NA
Glyma.15G049700,protein_content,C(type),70.40156308,1,16.08820343,8.50E-05
Glyma.15G049700,protein_content,Residual,888.3227618,203,NA,NA
Glyma.15G034700,protein_content,C(type),41.7897576,2,4.646243429,0.010720103
Glyma.15G034700,protein_content,Residual,849.9623736,189,NA,NA
